,loss,accuracy,val_loss,val_accuracy
0,0.3932960033416748,0.8843200206756592,0.3347437381744385,0.9162999987602234
1,0.011915924958884716,0.9967399835586548,0.2732168734073639,0.9322999715805054
2,0.0039812419563531876,0.9995399713516235,0.26690778136253357,0.9333000183105469
3,0.002954734256491065,0.9995999932289124,0.26790687441825867,0.934499979019165
4,0.002325112000107765,0.9997000098228455,0.2660623788833618,0.9345999956130981
5,0.0020224330946803093,0.999779999256134,0.2707556188106537,0.9347000122070312
6,0.0015645106323063374,0.9999600052833557,0.27591583132743835,0.9344000220298767
7,0.001345030264928937,0.9998800158500671,0.2760550081729889,0.9355000257492065
8,0.0012027131160721183,0.9998800158500671,0.2805853486061096,0.9358000159263611
9,0.0010013014543801546,0.9998599886894226,0.285373717546463,0.9351999759674072
