,loss,accuracy,val_loss,val_accuracy
0,2.4328324794769287,0.22874000668525696,1.8714443445205688,0.27480000257492065
1,1.8027747869491577,0.32010000944137573,1.7138956785202026,0.35839998722076416
2,1.561037302017212,0.42555999755859375,1.5050212144851685,0.44999998807907104
3,1.345078945159912,0.5108000040054321,1.2254362106323242,0.5527999997138977
4,1.2111432552337646,0.565280020236969,1.2426772117614746,0.5507000088691711
5,1.0975219011306763,0.6094599962234497,1.1479474306106567,0.5899999737739563
6,0.9989789128303528,0.6431999802589417,1.0374915599822998,0.6276000142097473
7,0.9206761121749878,0.6725999712944031,1.1480482816696167,0.6103000044822693
8,0.8412148356437683,0.7005199790000916,0.8769626021385193,0.6876000165939331
9,0.7643022537231445,0.7311999797821045,0.8985896706581116,0.6836000084877014
10,0.7080234289169312,0.7497400045394897,0.8795308470726013,0.6933000087738037
11,0.6415398120880127,0.7751799821853638,0.8448625802993774,0.7145000100135803
12,0.6004895567893982,0.7901399731636047,0.8902797698974609,0.7002999782562256
13,0.5290574431419373,0.8161799907684326,0.8456405401229858,0.71670001745224
14,0.4781425893306732,0.8321599960327148,0.8236191272735596,0.7224000096321106
15,0.42133671045303345,0.8521199822425842,0.8637234568595886,0.7236999869346619
16,0.3742126524448395,0.8672599792480469,0.8562061786651611,0.734000027179718
17,0.33888593316078186,0.8791199922561646,0.8808178901672363,0.746399998664856
18,0.29356127977371216,0.895039975643158,0.8793258666992188,0.7434999942779541
19,0.25568732619285583,0.9075800180435181,0.9202693104743958,0.7378000020980835
