,loss,accuracy,val_loss,val_accuracy
0,1.5607033967971802,0.5000799894332886,1.842984914779663,0.3377000093460083
1,0.7646927237510681,0.7476199865341187,1.6010512113571167,0.4350999891757965
2,0.5395546555519104,0.8188400268554688,1.4011098146438599,0.5178999900817871
3,0.42220503091812134,0.8576200008392334,1.2213412523269653,0.5835000276565552
4,0.34555715322494507,0.8837599754333496,0.9994935393333435,0.6560999751091003
5,0.2912684977054596,0.9027000069618225,0.8702229261398315,0.7010999917984009
6,0.24684613943099976,0.9186199903488159,0.7575641870498657,0.7418000102043152
7,0.21055379509925842,0.9308599829673767,0.6674001216888428,0.7735999822616577
8,0.18150849640369415,0.9409800171852112,0.6077635288238525,0.79339998960495
9,0.15430691838264465,0.9515799880027771,0.5469167232513428,0.8176000118255615
10,0.1318637728691101,0.9602199792861938,0.49453115463256836,0.8371000289916992
11,0.11126413941383362,0.9675999879837036,0.4580982029438019,0.8503000140190125
12,0.09327976405620575,0.974560022354126,0.42571622133255005,0.8626999855041504
13,0.07633993029594421,0.9804199934005737,0.4047258496284485,0.8705000281333923
14,0.06346726417541504,0.9856200218200684,0.3795579969882965,0.8809999823570251
15,0.05191871523857117,0.9890199899673462,0.369933545589447,0.8859000205993652
16,0.04254929721355438,0.9924399852752686,0.36897483468055725,0.8884000182151794
17,0.033959440886974335,0.9950000047683716,0.36455270648002625,0.8913000226020813
18,0.02711796946823597,0.9968199729919434,0.36319178342819214,0.897599995136261
19,0.022084182128310204,0.9973599910736084,0.3696325123310089,0.8992000222206116
20,0.017669938504695892,0.9984599947929382,0.3721158504486084,0.8995000123977661
21,0.014431998133659363,0.9989200234413147,0.3771771192550659,0.9021000266075134
22,0.011533433571457863,0.9993600249290466,0.3850730359554291,0.900600016117096
23,0.009930630214512348,0.999459981918335,0.39071255922317505,0.9021999835968018
