,loss,accuracy,val_loss,val_accuracy
0,0.20668531954288483,0.9306600093841553,4.853898525238037,0.11559999734163284
1,0.31235361099243164,0.8907999992370605,4.538341522216797,0.12929999828338623
2,0.2573152482509613,0.9088600277900696,3.535048007965088,0.18979999423027039
3,0.22399957478046417,0.9214000105857849,2.665799379348755,0.3077000081539154
4,0.19822415709495544,0.9313200116157532,1.8370808362960815,0.47290000319480896
5,0.17610910534858704,0.9395999908447266,1.3171719312667847,0.599399983882904
6,0.15645688772201538,0.9473599791526794,0.9597856402397156,0.7037000060081482
7,0.14112745225429535,0.9541800022125244,0.7445018291473389,0.76419997215271
8,0.12522239983081818,0.960099995136261,0.6035248637199402,0.8087000250816345
9,0.11207418888807297,0.9644799828529358,0.5277783870697021,0.8341000080108643
10,0.10027049481868744,0.9700599908828735,0.46916767954826355,0.8529999852180481
11,0.08974152058362961,0.9739800095558167,0.432956337928772,0.8655999898910522
12,0.07934918254613876,0.9785199761390686,0.41227757930755615,0.8758999705314636
13,0.0695829913020134,0.9827600121498108,0.40648317337036133,0.8805999755859375
14,0.061919208616018295,0.985539972782135,0.39398428797721863,0.8866000175476074
15,0.054954204708337784,0.9873999953269958,0.3917568325996399,0.8878999948501587
16,0.04913656413555145,0.9894999861717224,0.39545273780822754,0.88919997215271
17,0.04204992204904556,0.9925400018692017,0.3981141746044159,0.8892999887466431
