,loss,accuracy,val_loss,val_accuracy
0,0.671219527721405,0.7734799981117249,3.316009759902954,0.2540999948978424
1,0.4402226507663727,0.8468800187110901,1.6069313287734985,0.5550000071525574
2,0.368923157453537,0.8700000047683716,0.5477858185768127,0.8165000081062317
3,0.33850252628326416,0.8819400072097778,0.4808313548564911,0.8402000069618225
4,0.3078065514564514,0.8913800120353699,0.9648088812828064,0.6830999851226807
5,0.2783825695514679,0.9002400040626526,0.42015016078948975,0.8571000099182129
6,0.25170645117759705,0.9113199710845947,0.45647573471069336,0.8447999954223633
7,0.23198693990707397,0.9169800281524658,0.5139076113700867,0.8309999704360962
8,0.20727813243865967,0.9254800081253052,0.460476815700531,0.850600004196167
9,0.1887827217578888,0.9330199956893921,0.38495397567749023,0.8737999796867371
10,0.17408961057662964,0.9381399750709534,0.4909692406654358,0.8449000120162964
11,0.16249895095825195,0.9434400200843811,0.43906527757644653,0.8549000024795532
12,0.15116360783576965,0.9473000168800354,0.3920574486255646,0.8683000206947327
13,0.14168842136859894,0.9502999782562256,0.38909539580345154,0.8752999901771545
14,0.12650693953037262,0.9553200006484985,0.35937944054603577,0.8827999830245972
15,0.11046573519706726,0.9615600109100342,0.4148113429546356,0.8676999807357788
16,0.09886133670806885,0.9658600091934204,0.40552154183387756,0.8766999840736389
17,0.08940848708152771,0.9690399765968323,0.4725351929664612,0.8540999889373779
18,0.0825277641415596,0.9717599749565125,0.6528898477554321,0.8184999823570251
19,0.07479925453662872,0.9746400117874146,0.41296571493148804,0.8804000020027161
