,loss,accuracy,val_loss,val_accuracy
0,3.946638345718384,0.16674000024795532,2.7512145042419434,0.3571000099182129
1,1.9949920177459717,0.5413200259208679,1.4428404569625854,0.6074000000953674
2,1.1871556043624878,0.6867799758911133,1.144616961479187,0.6784999966621399
3,0.85630202293396,0.7642999887466431,0.9981817603111267,0.7148000001907349
4,0.6469970941543579,0.8220199942588806,0.9102757573127747,0.73580002784729
5,0.49408093094825745,0.8685799837112427,0.8606141805648804,0.7480999827384949
6,0.37522104382514954,0.9065999984741211,0.834729790687561,0.7558000087738037
7,0.28307515382766724,0.9371799826622009,0.8167349696159363,0.7598999738693237
8,0.21100109815597534,0.9584800004959106,0.8138306140899658,0.7605999708175659
9,0.15397652983665466,0.97461998462677,0.8141381144523621,0.7656000256538391
10,0.11247764527797699,0.9853799939155579,0.819439172744751,0.7645999789237976
11,0.08210588246583939,0.9912199974060059,0.8296042084693909,0.7663999795913696
12,0.06028692051768303,0.9948199987411499,0.838036060333252,0.7652999758720398
13,0.04442111402750015,0.9970600008964539,0.8507788777351379,0.7633000016212463
